FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,SECTOR,SECTOR_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,ALB,Albania,IMF_COFOG_GE,"Government expenditure, Total",PT_GDP,Percentage of GDP,IMF_SEC_SSF,Sector: Social security funds,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,5.72035352358914,6.07656316169465,6.32166936825775,,,,6.57939437373916,6.60799326780534,6.81214535473769,,,,,,,7.64006460480164,7.90103629447456,8.28941161410579,8.55116419989232,8.68426093945568,9.08066520440259,9.14119518795489,9.10585835860818,9.23890550160475,9.62117644169476,9.40307900650441,8.99878891524221,8.71407281606488
A,Annual,ALB,Albania,IMF_COFOG_GE,"Government expenditure, Total",XDC,Domestic currency,IMF_SEC_BCG,Sector: Budgetary central government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,68268000000.0,64100160000.0,77228345000.0,112880532000.0,,,,,,,,,,,,,311812850000.0,308889050000.0,320993400000.0,333746330000.0,337526320000.0,334793440000.0,349743740000.0,357352800000.0,360916619900.0,412486180000.0,449299946989.984,480819650000.0,501172800000.0
A,Annual,ALB,Albania,IMF_COFOG_GE,"Government expenditure, Total",XDC,Domestic currency,IMF_SEC_CG,Sector: Central government (excl. social security),IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165551950000.0,156293600000.0,172098135000.0,,,,,,,311812850000.0,308889050000.0,320993400000.0,333746330000.0,337526320000.0,334793440000.0,349743740000.0,357352740000.0,360916619900.0,412486180000.0,449299946989.984,479817550000.0,500012700000.0
A,Annual,ALB,Albania,IMF_COFOG_GE,"Government expenditure, Total",XDC,Domestic currency,IMF_SEC_CG_SSF,Sector: Central government (incl. social security funds),IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,68268000000.0,83226684000.0,97361472000.0,137209376000.0,,,,192107075971.43,186625130000.0,206357733170.0,,,,,,,365745150000.0,365230430000.0,379009340000.0,396500580000.0,409574310000.0,409857130000.0,433206010000.0,446276520000.0,458786789900.0,501396170000.0,553615566989.984,672242180000.0,701075710000.0
A,Annual,ALB,Albania,IMF_COFOG_GE,"Government expenditure, Total",XDC,Domestic currency,IMF_SEC_EBG,Sector: Extrabudgetary central government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
A,Annual,ALB,Albania,IMF_COFOG_GE,"Government expenditure, Total",XDC,Domestic currency,IMF_SEC_GG,Sector: General government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232061327671.667,258666752644.455,285594424913.793,351444577067.757,,368370000000.0,379408700000.0,379320110000.0,392583950000.0,408487530000.0,425082440000.0,425486470000.0,453292300000.0,470391090000.0,488444209900.0,534322480000.0,593912016989.984,642741201000.0,671352100000.0
A,Annual,ALB,Albania,IMF_COFOG_GE,"Government expenditure, Total",XDC,Domestic currency,IMF_SEC_LG,Sector: Local government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,17457000000.0,20544515000.0,19899236000.0,25702802000.0,,,,,,,,,,,,,51681800000.0,50120920000.0,55743740000.0,59396520000.0,58667740000.0,67555480000.0,80831470000.0,83594780000.0,85956570000.0,100120490000.0,113537320000.0,119618450000.0,123236800000.0
A,Annual,ALB,Albania,IMF_COFOG_GE,"Government expenditure, Total",XDC,Domestic currency,IMF_SEC_SSF,Sector: Social security funds,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,19126524000.0,20133127000.0,24328844000.0,,,,40166825971.43,44784850000.0,50250168170.0,,,,,,,99368520000.0,105305880000.0,111911420000.0,119314790000.0,124558920000.0,133710900000.0,141747530000.0,149038280000.0,156313360000.0,158502250000.0,174537330000.0,192424630000.0,201520860000.0
A,Annual,ARE,United Arab Emirates,IMF_COFOG_GE,"Government expenditure, Total",PT_GDP,Percentage of GDP,IMF_SEC_BCG,Sector: Budgetary central government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,7.76233982178212,8.42527383154721,8.1645386570567,8.1344812519446,7.58107882116087,7.65832071287562,6.33853862184519,6.37157895178828,6.93175769118388,6.46710186714927,,,,,,,,,,,,,,,,,,,,,,,,
A,Annual,ARE,United Arab Emirates,IMF_COFOG_GE,"Government expenditure, Total",PT_GDP,Percentage of GDP,IMF_SEC_CG_SSF,Sector: Central government (incl. social security funds),IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,6.37157895178828,6.93175769118388,6.46710186714927,,,,,,,,,,,,,,,,,,,,,,,,
